state,year,STDIR_amt,STDIR_n,STDIR_npos
AK,1996,0.145793172925491,0.279424977538185,0.272394881170018
AL,1996,0.454962379213549,0.748547074777218,0.747709105088711
AR,1996,-0.195554693372123,-0.0776318820548261,-0.0802784222737819
AZ,1996,0.638903253128458,0.723450886630803,0.72370802332596
CA,1996,0.125448962097988,0.425685496785002,0.423547552725826
CO,1996,0.379783482826293,0.475964514132453,0.472787702534275
CT,1996,0.329304419829949,0.490374412611793,0.485291852764516
DC,1996,-0.268429717560005,0.0279299982322785,-0.10783073246169
DE,1996,0.686726413514303,0.765909090909091,0.764571428571429
FL,1996,0.277881574509776,0.501146569845213,0.498888351860802
GA,1996,0.442794065571028,0.649085688378419,0.64378478664193
HI,1996,0.464883718789976,0.627737226277372,0.616981132075472
IA,1996,0.403344348108718,0.452088452088452,0.450296042380804
ID,1996,0.689426320218949,0.812781278127813,0.808647654093836
IL,1996,0.156722555358848,0.488420758928571,0.485244519392917
IN,1996,0.591628308449227,0.722324159021407,0.722290388548057
KS,1996,0.831653095665964,0.808580858085809,0.804382470119522
KY,1996,0.0495518663698582,0.28595178719867,0.284583333333333
LA,1996,0.374341117210032,0.640690620625292,0.637485172004745
MA,1996,-0.197063049728677,0.0697087823893603,0.0691692735488356
MD,1996,-0.112931566362581,0.0820668693009119,0.0745791866322645
ME,1996,0.293861050814113,0.434442270058709,0.431661750245821
MI,1996,0.553850435727818,0.642957746478873,0.640770665009323
MN,1996,0.30390626442146,0.579137619416473,0.571581769436997
MO,1996,0.180232279188651,0.480185843126537,0.467936152338281
MS,1996,0.630666319368957,0.792207792207792,0.790682833439694
MT,1996,0.383998756495093,0.547464239271782,0.551769331585845
NC,1996,0.226378296529969,0.568990042674253,0.566924620235024
ND,1996,0.838256547590761,0.854291417165669,0.856143856143856
NE,1996,0.538730813516455,0.671169073125291,0.67029843675983
NH,1996,0.350884689790331,0.418222976796831,0.423340961098398
NJ,1996,0.120320680202708,0.397332427151474,0.387214137214137
NM,1996,0.175058516246306,0.404285714285714,0.394688977810113
NV,1996,0.407040357358829,0.718457506551853,0.715917745620716
NY,1996,0.0528256330346708,0.304401449163648,0.298236028723072
OH,1996,0.528444397818394,0.703848982593773,0.703083554376658
OK,1996,0.583922361953734,0.739617083946981,0.738616203429923
OR,1996,0.382388831443649,0.601224906430759,0.607118412046543
PA,1996,0.324998988059521,0.498715019988578,0.504226573224478
RI,1996,-0.118545775839249,0.232077764277035,0.230958230958231
SC,1996,0.416245665020677,0.625894599869876,0.624385447394297
SD,1996,0.371754837394089,0.498570066730219,0.511673151750973
TN,1996,0.387559415782322,0.519470793809286,0.518764905234091
TX,1996,0.260444200056857,0.599718752584995,0.597356975577116
UT,1996,0.610411176688372,0.675511751326763,0.67478397486253
VA,1996,0.266827784599003,0.36525591478933,0.355148258324537
VT,1996,0.199265142806729,0.223042836041359,0.219584569732938
WA,1996,0.361461398426113,0.560379918588874,0.556127703398558
WI,1996,0.599286407136626,0.679368029739777,0.675930287329251
WV,1996,0.0976673173062899,0.434439178515008,0.436262866191607
WY,1996,0.728091982597887,0.719557195571956,0.713207547169811
AK,2000,0.719864457256751,0.692410119840213,0.693143245078072
AL,2000,0.395860427977188,0.584699453551913,0.585920770877944
AR,2000,0.427593398062495,0.374291115311909,0.380397865114022
AZ,2000,0.417657746377552,0.587643276488678,0.588252067293984
CA,2000,0.165095822890144,0.362889266611568,0.368149394886591
CO,2000,0.338214568371729,0.501037977775064,0.505175208878913
CT,2000,0.174814831709457,0.402148612354521,0.401383125864454
DC,2000,-0.179228720351931,-0.111743353281664,-0.111356783919598
DE,2000,0.72687802846988,0.717241379310345,0.717161550075491
FL,2000,0.452816057595538,0.581128505599805,0.586813186813187
GA,2000,0.43847764158556,0.632664437012263,0.636467480545442
HI,2000,0.391921405139004,0.403894158761857,0.412955465587045
IA,2000,0.467128854432609,0.465779467680608,0.467339097022094
ID,2000,0.735587845792608,0.701083032490975,0.70353982300885
IL,2000,0.117080374641019,0.368602976476236,0.373596744938477
IN,2000,0.593858305466128,0.675475987496448,0.675003614283649
KS,2000,0.74392425367361,0.670993509735397,0.66828025477707
KY,2000,0.0160507215917052,0.15410838133302,0.150541473283351
LA,2000,0.63252059958755,0.703317958637108,0.705272782688205
MA,2000,-0.0506194473264862,0.162641931872701,0.166939711664482
MD,2000,0.0229425256528555,0.184778684381544,0.19226494776617
ME,2000,0.421177935419515,0.487204724409449,0.482294264339152
MI,2000,0.595559321904321,0.603199443575031,0.603144579737558
MN,2000,0.520291217671665,0.514426028238183,0.519658929417338
MO,2000,0.470474886859911,0.63970682782564,0.635592096538921
MS,2000,0.684273873117968,0.783798882681564,0.787052810902896
MT,2000,0.518027835884932,0.499607843137255,0.498791297340854
NC,2000,0.457085287824951,0.561631392497048,0.563877474785207
ND,2000,0.792201965263673,0.737654320987654,0.738927738927739
NE,2000,0.572599926735013,0.579315164220825,0.57193987115247
NH,2000,0.448410394716918,0.386708122813836,0.385281385281385
NJ,2000,0.205702504687032,0.386687089156934,0.393136032548068
NM,2000,0.316458080981308,0.420657520062128,0.421846072467601
NV,2000,0.394215186747741,0.597519729425028,0.598825256975037
NY,2000,-0.137210110556418,0.0963587668813037,0.0981848184818481
OH,2000,0.616216013835668,0.647970869795032,0.649068136873015
OK,2000,0.690876907632994,0.718126111879818,0.725672668419988
OR,2000,0.542874645798699,0.616345062429058,0.617040981708729
PA,2000,0.423946628794279,0.505266418835192,0.511174362218005
RI,2000,-0.0490901755230601,0.150943396226415,0.15660542432196
SC,2000,0.551918417618246,0.603582554517134,0.603972194637537
SD,2000,0.626112133847093,0.68753874767514,0.688442211055276
TN,2000,0.161996631435511,0.145508100147275,0.15990020412792
TX,2000,0.682774505260572,0.782870267212862,0.784094111017188
UT,2000,0.75296460945497,0.69443025038324,0.691176470588235
VA,2000,0.450613363166612,0.463672524042092,0.468351818416301
VT,2000,0.221398772608686,0.373451327433628,0.378937893789379
WA,2000,0.255790993963385,0.429774436090226,0.434604346043461
WI,2000,0.619319055625142,0.63544997715852,0.637627432808156
WV,2000,0.358028357871862,0.522819179664934,0.525641025641026
WY,2000,0.871479239576209,0.827744904667982,0.826845637583893
AK,2004,0.324598491838205,0.340377841818764,0.330502939255389
AL,2004,0.645731349467405,0.676114051562233,0.671735163784864
AR,2004,0.554781314256382,0.500919681177192,0.492569998435789
AZ,2004,0.405633323088509,0.328936078936079,0.320179765428039
CA,2004,-0.0711607565540853,-0.0788005619793901,-0.0897853543655371
CO,2004,0.223344422796225,0.167247386759582,0.156906525931188
CT,2004,0.116859704705657,0.061380559468706,0.0504089979550102
DC,2004,-0.280098763298566,-0.39634090282247,-0.401095330919892
DE,2004,0.513265630831484,0.385826771653543,0.379641485275288
FL,2004,0.523771802979963,0.494731786389698,0.487563027785867
GA,2004,0.556080215365153,0.561013867598303,0.552987495898801
HI,2004,0.46135842790705,0.390152351512475,0.382405745062837
IA,2004,0.245467880790055,0.268165865072143,0.2583763739902
ID,2004,0.374562298042781,0.301479654747226,0.294631710362048
IL,2004,0.199911108835096,0.172311163382378,0.1636905488922
IN,2004,0.596973247353339,0.565192083818394,0.558757985440499
KS,2004,0.518776407343907,0.50514050719671,0.498670398880336
KY,2004,0.437667180597706,0.546295495807037,0.539412128166652
LA,2004,0.474103973949088,0.55178008972034,0.543041186804607
MA,2004,-0.370012862188628,-0.412824802051968,-0.422598870056497
MD,2004,-0.0846918217209394,-0.12766420859392,-0.136546943919345
ME,2004,-0.249971261194777,-0.165693577612241,-0.174984721939295
MI,2004,0.484636795860294,0.232925030462387,0.223841664221201
MN,2004,0.27118723590064,0.193198475520375,0.184375559935495
MO,2004,0.499510713052877,0.463354949223052,0.452801805189921
MS,2004,0.584030145383001,0.737478411053541,0.733568281938326
MT,2004,0.372879055568166,0.41339648173207,0.402211472011057
NC,2004,0.436115746266433,0.339836094779975,0.330488469220992
ND,2004,0.523335413601088,0.449972051425377,0.442492917847026
NE,2004,0.681174229374265,0.586652763295099,0.580178647384092
NH,2004,-0.0167419665103589,0.0128447298828862,0.000192566917003756
NJ,2004,0.129747884612094,0.154595269867409,0.145589552454422
NM,2004,-0.0349486545884405,0.0371543427944938,0.0275092936802974
NV,2004,0.605923265762785,0.557798380471776,0.549633897491298
NY,2004,-0.258292730667806,-0.240014772205871,-0.249235943056455
OH,2004,0.50567874107795,0.407699485296331,0.395750988142293
OK,2004,0.544198650788218,0.578520221831462,0.569904392406817
OR,2004,0.059016971503538,-0.0886935972232479,-0.107113160480762
PA,2004,0.264476284607195,0.227666163741761,0.213281694336863
RI,2004,-0.392018559502626,-0.166824345632293,-0.189453125
SC,2004,0.628603526819075,0.63807285546416,0.6315525709131
SD,2004,0.73287774718762,0.67304625199362,0.670178282009724
TN,2004,0.600307715536562,0.484562334217507,0.477673991685114
TX,2004,0.610491280509109,0.598259910544697,0.590011190886343
UT,2004,0.490457607869591,0.46082136558327,0.456701030927835
VA,2004,0.309957927771244,0.230548284728174,0.221992189337976
VT,2004,-0.242323372968571,-0.162422573984859,-0.170901496693352
WA,2004,0.0137014911392659,-0.060503251342946,-0.0713592407520581
WI,2004,0.418628448035446,0.360322760155815,0.349847398679821
WV,2004,0.170508156814537,0.357852348993289,0.330900926185798
WY,2004,0.486117232876617,0.577747062888735,0.573097345132744
AK,2008,0.104740717352276,-0.0197247706422018,-0.0280642840009595
AL,2008,0.401365108891406,0.412839586028461,0.409929553840993
AR,2008,0.253256935111817,0.185425978599485,0.180039138943249
AZ,2008,0.415357130361206,0.28105648932137,0.266405123562351
CA,2008,-0.298575497788963,-0.34262868325233,-0.349649441159338
CO,2008,-0.0297410837815325,-0.187392311805597,-0.195741246585548
CT,2008,-0.143257913299223,-0.217754093187954,-0.226927892759814
DC,2008,-0.584680282260853,-0.646481450673765,-0.648989825369523
DE,2008,-0.0054098429968712,-0.0363588804603714,-0.0430078441979984
FL,2008,0.247842757358855,0.197294733989703,0.194397293607929
GA,2008,0.131564524855935,0.121902363646769,0.121454243027297
HI,2008,-0.252260594497511,-0.236333744348541,-0.232994415007876
IA,2008,-0.00451309385931908,-0.100089365504915,-0.0997555581422419
ID,2008,0.22320356214322,0.0789607743250127,0.0732873074880509
IL,2008,-0.333906048376354,-0.386001505745282,-0.38535748183012
IN,2008,0.235761359516361,0.119038630929911,0.109934640522876
KS,2008,0.383658811263315,0.253756977243452,0.260532524435457
KY,2008,0.0412102618011665,0.0489975875551119,0.0470933241331724
LA,2008,0.53743908643367,0.443746635564328,0.439522521682365
MA,2008,-0.565064482845781,-0.576058331392537,-0.583420424007166
MD,2008,-0.451094005252088,-0.481921094872012,-0.487638270680005
ME,2008,-0.481287049517287,-0.40668654842254,-0.414220482713633
MI,2008,0.0662699116979002,-0.229929177704493,-0.245716532779057
MN,2008,-0.0313956911055996,-0.121840242669363,-0.129139247170308
MO,2008,0.160889186004258,0.0916192496865658,0.0973478151048244
MS,2008,0.611318824693105,0.535739362449094,0.529240616816992
MT,2008,-0.0462118962026786,-0.0497168030207678,-0.0526315789473685
NC,2008,-0.0303299255686832,-0.104778090071247,-0.109124038331759
ND,2008,0.379946129936892,0.341643582640813,0.337126600284495
NE,2008,0.189516300460822,0.210918114143921,0.211978609625668
NH,2008,-0.180541066996791,-0.26347815504442,-0.268385621745205
NJ,2008,-0.157168305894826,-0.172831012312875,-0.181305079710863
NM,2008,-0.303839511862649,-0.27198133698013,-0.273379494452323
NV,2008,0.375629435319617,0.228247602441151,0.226358423591517
NY,2008,-0.47770663879501,-0.497208594146507,-0.509919885263978
OH,2008,0.241108532633289,0.0669413557600045,0.0643821998713525
OK,2008,0.381927959724986,0.398423286840509,0.392363636363636
OR,2008,-0.268904372650278,-0.378862826445402,-0.38851537528932
PA,2008,-0.0334179301740639,-0.0887904152305925,-0.094354924767901
RI,2008,-0.49168896704641,-0.398698676239623,-0.406511627906977
SC,2008,0.324512761185069,0.292898103220115,0.291835952472212
SD,2008,0.419786593360084,0.422535211267606,0.414000633512829
TN,2008,0.291260725328282,0.152404651871413,0.149420464677191
TX,2008,0.283353648002219,0.272283737683673,0.272374547335748
UT,2008,0.230089443580387,-0.0114166264672777,-0.0165413533834586
VA,2008,-0.00633578273326874,-0.0957491925749519,-0.101094062025295
VT,2008,-0.647071847042532,-0.577651515151515,-0.577254901960784
WA,2008,-0.354787440558354,-0.402206619859579,-0.407481107715633
WI,2008,0.106992253018962,-0.0429407581642142,-0.0469248291571755
WV,2008,-0.0578673399477071,-0.0293453724604966,-0.036150845253576
WY,2008,0.242685497803755,0.207606147434228,0.210984230560087
AK,2012,0.0359479729211258,0.00830718109654782,0.00884615384615395
AL,2012,0.55492735278713,0.380874511198009,0.43837776943297
AR,2012,0.560857776342846,0.198250728862974,0.21537999399219
AZ,2012,0.492185925664315,0.183649719979635,0.210403140570738
CA,2012,-0.158071389042187,-0.30168317733894,-0.283752063499242
